case_id,axis,parameter,value,status,failure_modes,event_count,transition_count,motif_count,canonical_motif_supports,canonical_motif_recovery,active_signal_cell_coverage_ratio,active_signal_cell_overcapture_ratio,raw_sample_value_loss_fraction,event_history_accuracy,event_context_accuracy,collapsed_static_accuracy,predictive_accuracy_delta,event_instance_loss_fraction,temporal_order_loss_fraction,event_duration,event_gap,window_size,activation_threshold,noise_episodes,min_participants,active_mean,active_std,baseline_mean,baseline_std,dropout_probability,spurious_probability
baseline,baseline,none,0.0,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_00,noise,noise_episodes,0.0,faithful,within_useful_manifold,540,360,14,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,0,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_10,noise,noise_episodes,10.0,faithful,within_useful_manifold,570,380,20,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,10,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_20,noise,noise_episodes,20.0,faithful,within_useful_manifold,600,400,32,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_40,noise,noise_episodes,40.0,faithful,within_useful_manifold,660,440,42,60;60;60,1.0,1.0,0.0,0.85,1.0,0.969697,0.0,1.0,1.0,1.0,3,2,3,0.75,40,2,1.0,0.05,0.03,0.01,0.0,0.0
noise_60,noise,noise_episodes,60.0,faithful,within_useful_manifold,720,480,49,60;60;60,1.0,1.0,0.0,0.85,1.0,0.771429,0.014286,0.985714,1.0,1.0,3,2,3,0.75,60,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.45,threshold,activation_threshold,0.45,failed,overcapture,599,399,31,60;60;60,1.0,1.555556,0.555556,0.766667,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.45,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.60,threshold,activation_threshold,0.6,failed,overcapture,598,398,32,60;60;60,1.0,1.555556,0.555556,0.766667,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.6,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.75,threshold,activation_threshold,0.75,faithful,within_useful_manifold,600,400,28,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_0.90,threshold,activation_threshold,0.9,faithful,within_useful_manifold,598,398,30,60;60;58,0.966667,1.021931,0.021931,0.8505,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.9,20,2,1.0,0.05,0.03,0.01,0.0,0.0
threshold_1.05,threshold,activation_threshold,1.05,failed,undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,2,0,0,0;0;0,0.0,0.021467,0.0,0.9995,0.0,0.0,0.0,0.0,1.0,1.0,3,2,3,1.05,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_1,temporal_resolution,window_size,1.0,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,1,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_2,temporal_resolution,window_size,2.0,faithful,within_useful_manifold,600,400,29,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,2,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_3,temporal_resolution,window_size,3.0,faithful,within_useful_manifold,600,400,27,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_4,temporal_resolution,window_size,4.0,failed,undercapture;motif_loss,251,92,23,7;0;3,0.0,0.640556,0.0,0.903917,1.0,0.72,0.0,1.0,1.0,1.0,3,2,4,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
window_5,temporal_resolution,window_size,5.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,2,5,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_1,event_duration,event_duration,1.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_2,event_duration,event_duration,2.0,failed,no_events_detected;undercapture;motif_loss;history_prediction_failure;no_event_advantage_over_static,0,0,0,0;0;0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_3,event_duration,event_duration,3.0,faithful,within_useful_manifold,600,400,27,60;60;60,1.0,1.0,0.0,0.85,1.0,1.0,0.0,1.0,1.0,1.0,3,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_4,event_duration,event_duration,4.0,faithful,within_useful_manifold,600,400,32,60;60;60,1.0,1.0,0.0,0.833333,1.0,1.0,0.0,1.0,1.0,1.0,4,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
duration_5,event_duration,event_duration,5.0,faithful,within_useful_manifold,600,400,33,60;60;60,1.0,1.0,0.0,0.821429,1.0,1.0,0.0,1.0,1.0,1.0,5,2,3,0.75,20,2,1.0,0.05,0.03,0.01,0.0,0.0
